,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,0.04,10.0,0.04,10.0,10.0,10.0,10.0,10.0,0.04,0.04,10.0,10.0
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,10.0,10.0
4,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.04,10.0,0.04,10.0,10.0,10.0,10.0,10.0,0.04,0.04,10.0,10.0
6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0
7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0
10,10.0,0.02,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
11,0.02,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
12,10.0,10.0,0.04,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,0.03,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,0.04,0.04,10.0,10.0
13,10.0,10.0,10.0,0.05,10.0,10.0,10.0,0.04,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,10.0,10.0
14,10.0,10.0,0.04,10.0,10.0,0.04,10.0,10.0,0.03,10.0,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.04,0.04,10.0,10.0
15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05
16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0
17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,0.03,0.03,10.0,10.0,0.03,0.03
18,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,10.0,0.03,10.0,10.0,0.03,0.03
19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,0.03,10.0,10.0,10.0,0.03,0.03
20,10.0,10.0,0.04,10.0,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,0.04,10.0,0.04,10.0,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0
21,10.0,10.0,0.04,0.05,10.0,0.04,10.0,10.0,10.0,0.02,10.0,10.0,0.04,0.05,0.04,10.0,10.0,10.0,10.0,10.0,0.04,10.0,10.0,0.060000000000000005
22,10.0,10.0,10.0,10.0,10.0,10.0,0.02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,0.03,0.03,10.0,10.0,10.0,0.03
23,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,10.0,0.03,0.03,0.03,10.0,0.060000000000000005,0.03,10.0
