,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2
1,0.2,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2
2,10.0,10.0,10.0,10.0,0.2,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,10.0,10.0
4,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0
5,10.0,10.0,0.2,10.0,0.2,10.0,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0
6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,0.2,0.2,10.0,10.0,10.0,10.0,0.1,10.0,10.0,0.2,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2
8,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0
9,0.2,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2
10,0.2,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2
11,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0
12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,10.0,0.30000000000000004
13,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1,10.0,10.0,10.0,10.0
14,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,0.2,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0
15,10.0,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,0.1,10.0,10.0,0.30000000000000004,0.30000000000000004,10.0,0.30000000000000004
16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,10.0,10.0,0.30000000000000004,10.0,0.30000000000000004,10.0,0.30000000000000004
17,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,0.2,10.0,10.0,0.2,0.30000000000000004,10.0,0.2,0.30000000000000004,0.30000000000000004,10.0,10.0,0.30000000000000004
18,0.2,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,0.2,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2
19,0.2,0.2,10.0,10.0,10.0,10.0,10.0,0.2,10.0,0.2,0.2,10.0,0.30000000000000004,10.0,10.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.2,10.0
